RefDes,Name,Pattern,Center X (mm),Center Y (mm),Side,Rotation,Value
ANT,CA-C03_antenna,CA-C03_antenna,14.93,11.07,Top,0,
C1,GRM0225C1H150GA03L,CAPC0402X22N,11.5,16.18,Top,270,15pF
C2,GRM0225C1H150GA03L,CAPC0402X22N,10.66,13.96,Top,360,15pF
C3,GRM0225C1H150GA03L,CAPC0402X22N,17.94,17.88,Top,0,100nF
C4,GRM0225C1H150GA03L,CAPC0402X22N,11.45,13.36,Top,90,1uF
C5,GRM0225C1H150GA03L,CAPC0402X22N,17.97,13.03,Top,0,100nF
C6,GRM0225C1H150GA03L,CAPC0402X22N,17.99,13.72,Top,180,1uF
ESP32-C3,ESP32-C3FH4,QFN50P500X500X90-33N_short,14.57,15.53,Top,90,
LDO,MIC5524-3.3YMT-TZ,MIC5524-3.3YMT-TZ,18.88,14.74,Top,0,
R3,RC0100JR-0722RL,RESC0402X15N,19.29,15.01,Bottom,180,5.1k
R4,RC0100JR-0722RL,RESC0402X15N,10.59,15.36,Bottom,0,5.1k
R5,RC0100JR-0722RL,RESC0402X15N,19.27,14,Bottom,180,5.1k
R6,RC0100JR-0722RL,RESC0402X15N,17.97,17.01,Top,0,5.1k
R7,RC0100JR-0722RL,RESC0402X15N,11.5,17.36,Top,90,5.1k
R8,RC0100JR-0722RL,RESC0402X15N,10.57,14.22,Bottom,0,5.1k
R9,RC0100JR-0722RL,RESC0402X15N,18.04,16.17,Top,0,5.1k
XTAL,ABM14N-40.0000MHZ-8-N1U,ABM14N-40.0000MHZ-8-N1U,10.705,15,Top,180,
LED,SunLED 01005 SMD,SunLED 01005 SMD,11.5,18.15,Top,0,
USB-C,USB-C 16Pin,USB-C 16pin,14.905,14.84,Bottom,180,